periode;code_entite;code_projet;code_business_line;ca_eur;opex_eur;capex_eur;ebitda_eur;commentaire_source
2023-06;ENT_IT_001;PRJ_008;BL_DEV;3024565.7739377865;836778.6534661818;217950.33331964567;2187787.1204716046;Source données test
2024-08;ENT_IT_001;PRJ_008;BL_SUP;3289353.517449379;158513.9965872445;1449557.569088313;3130839.520862134;Anomalie: valeur_manquante
2024-08;ENT_FR_001;PRJ_010;BL_CONST;134624.8955766153;50709.74468569568;1059053.8273116103;83915.15089091961;Source données test
2024-03;ENT_ES_001;PRJ_007;BL_SUP;3002831.387424008;131367.13372864525;1222938.806764848;2871464.2536953627;Source données test
2023-06;ENT_DE_001;PRJ_004;BL_DEV;4831596.962065341;2353090.23537488;623135.2629632739;2478506.7266904614;Source données test
2024-07;ENT_IT_001;PRJ_007;BL_SUP;2526366.859545224;100407.38600079445;1820454.3961159885;2425959.473544429;Source données test
2023-01;ENT_DE_001;PRJ_004;BL_CONST;3663632.779696462;751468.2402623136;1149479.0693226908;2912164.5394341485;Source données test
2023-07;ENT_MA_001;PRJ_002;BL_EXP;4160813.7948444537;922792.8315033222;576250.3291810139;3238020.963341132;Source données test
2023-08;ENT_MA_001;PRJ_001;BL_DEV;4935745.989342535;2298350.1752432035;413457.04943766136;2637395.8140993314;Source données test
2023-10;ENT_ES_001;PRJ_001;BL_SUP;3672135.1234008376;1710761.840487504;166608.4104334989;1961373.2829133335;Source données test
2023-08;ENT_IT_001;PRJ_007;BL_DEV;3154160.821455034;659678.4502896157;145845.53356632678;2494482.371165418;Source données test
2024-11;ENT_MA_001;PRJ_003;BL_SUP;3224031.6096405443;1721880.518796357;954985.5518206595;1502151.0908441872;Source données test
2024-01;ENT_ES_001;PRJ_001;BL_DEV;2850258.268090532;1329924.9884574288;997715.2808014936;1520333.279633103;Source données test
2024-02;ENT_DE_001;PRJ_010;BL_SUP;628667.9922671918;60283.65455422648;1280092.6143022852;568384.3377129653;Source données test
2023-04;ENT_MA_001;PRJ_007;BL_EXP;2110876.3228745856;969147.4485157218;473020.3676734125;1141728.8743588638;Source données test
2023-11;ENT_IT_001;PRJ_010;BL_EXP;4490847.369625117;890962.8677168317;237902.8105648;3599884.501908285;Source données test
2024-07;ENT_MA_001;PRJ_009;BL_EXP;134065.43960283446;65546.77185873566;846473.7862345824;68518.6677440988;Source données test
2024-06;ENT_DE_001;PRJ_008;BL_EXP;924626.1066473598;160426.85419190413;1125041.9639943356;764199.2524554557;Source données test
2024-04;ENT_DE_001;PRJ_004;BL_SUP;1333733.2495442843;423055.6940623156;615739.053437204;910677.5554819688;Source données test
2024-06;ENT_DE_001;PRJ_005;BL_SUP;2294137.506408149;783403.0091498705;1193539.5132811991;1510734.4972582783;Source données test
2024-11;ENT_ES_001;PRJ_001;BL_EXP;4035384.8062614896;1165191.3890489074;1967177.818971789;2870193.417212582;Source données test
2024-03;ENT_FR_001;PRJ_009;BL_SUP;2590174.0060295216;1096575.1067877663;1719550.4335311654;1493598.8992417553;Source données test
2023-04;ENT_ES_001;PRJ_010;BL_EXP;4066555.1260846057;883288.3753829327;210429.5711610131;3183266.750701673;Anomalie: valeur_manquante
2023-06;ENT_DE_001;PRJ_008;BL_DEV;3410881.573492476;1517880.262229759;433961.8090606731;1893001.3112627163;Source données test
2023-09;ENT_ES_001;PRJ_007;BL_SUP;957279.1427700872;565017.1446885196;1042939.0647166084;392261.9980815677;Source données test
2023-07;ENT_IT_001;PRJ_003;BL_SUP;597210.5600435573;254575.06941594504;30021.936015513;342635.4906276123;Source données test
2024-05;ENT_DE_001;PRJ_006;BL_EXP;3294610.1715627424;482114.5033978396;1430114.858268121;2812495.668164903;Source données test
2024-08;ENT_IT_001;PRJ_008;BL_SUP;3746435.562977155;1634525.9863803338;629960.3678677307;2111909.5765968217;Source données test
2024-06;ENT_MA_001;PRJ_003;BL_CONST;4539884.059820915;1211540.3151185678;713155.2472354579;3328343.7447023466;Source données test
2024-02;ENT_FR_001;PRJ_005;BL_SUP;3640015.364781376;649170.8098523654;68145.6135342786;2990844.5549290106;Source données test
2024-04;ENT_IT_001;PRJ_005;BL_CONST;1913777.6312516776;66975.48535422549;1858070.753923696;1846802.1458974525;Source données test
2024-08;ENT_ES_001;PRJ_001;BL_SUP;1542799.57114097;387222.2798905509;1705250.6096033766;1155577.2912504189;Source données test
2024-05;ENT_FR_001;PRJ_010;BL_EXP;4236644.389558926;2367589.521497455;159423.9390820969;1869054.8680614715;Source données test
2023-06;ENT_MA_001;PRJ_010;BL_EXP;2156926.196586755;368761.33385206416;1230797.147514047;1788164.862734691;Source données test
2023-06;ENT_FR_001;PRJ_004;BL_DEV;1051942.372209007;91228.40805935532;805631.977883499;960713.9641496516;Source données test
2024-06;ENT_IT_001;PRJ_002;BL_CONST;2248523.2027886263;923038.5080902146;669742.2815999693;1325484.6946984115;Source données test
2024-09;ENT_DE_001;PRJ_010;BL_CONST;1326231.666527734;78960.57601542637;620465.7190529812;1247271.0905123076;Source données test
2024-02;ENT_ES_001;PRJ_007;BL_SUP;3657847.535241042;2142918.270199999;1042274.6896363668;1514929.2650410426;Source données test
2024-04;ENT_ES_001;PRJ_010;BL_EXP;1329216.5839986398;187794.9424298284;180128.4739020514;1141421.6415688114;Source données test
2023-11;ENT_MA_001;PRJ_001;BL_CONST;4584547.265369754;1244673.2115998135;494778.9711316584;3339874.0537699405;Source données test
2023-07;ENT_MA_001;PRJ_005;BL_DEV;4778839.875249651;2128879.879762917;1117621.0239725737;2649959.9954867344;Source données test
2024-10;ENT_ES_001;PRJ_010;BL_SUP;877367.5934482061;107248.9083273904;696921.7400984751;770118.6851208156;Source données test
