code_projet;nom_projet;code_entite;code_business_line;statut_projet;date_debut;date_fin_prevue
PRJX_001;Projet énergie 1;ENT_IT_001;BL_CONST;Planifié;2023-01-01;2024-01-01
PRJX_002;Projet énergie 2;ENT_MA_001;BL_EXP;En pause;2023-01-31;2024-01-31
PRJX_003;Projet énergie 3;ENT_IT_001;BL_SUP;En pause;2023-03-02;2024-03-01
PRJX_004;Projet énergie 4;;BL_EXP;Actif;2023-04-01;2024-03-31
PRJX_005;Projet énergie 5;ENT_FR_001;BL_SUP;En pause;2023-05-01;2024-04-30
PRJX_006;Projet énergie 6;ENT_UNKNOWN;BL_SUP;En pause;2023-05-31;2024-05-30
PRJX_007;Projet énergie 7;ENT_FR_001;BL_EXP;En pause;2023-06-30;2024-06-29
PRJX_008;Projet énergie 8;ENT_FR_001;BL_INVALID;Clos;2023-07-30;2024-07-29
PRJX_009;Projet énergie 9;ENT_ES_001;BL_SUP;Clos;2023-08-29;2024-08-28
PRJX_010;Projet énergie 10;ENT_FR_001;BL_CONST;Clos;2023-09-28;2024-09-27
PRJX_011;Projet énergie 11;ENT_ES_001;BL_CONST;Inexistant;2023-10-28;2024-10-27
PRJX_012;Projet énergie 12;ENT_IT_001;BL_EXP;Actif;2023-11-27;2024-11-26
PRJX_013;Projet énergie 13;ENT_ES_001;BL_CONST;Planifié;2023-12-27;2023-09-18
PRJX_014;Projet énergie 14;ENT_ES_001;BL_DEV;Planifié;2024-01-26;2025-01-25
PRJX_015;Projet énergie 15;ENT_ES_001;BL_SUP;Clos;2024-02-25;2025-02-24
